m_dot_hot,m_dot_cold,T_hot_in,T_cold_in,R_f_hot,R_f_cold,T_hot_out,T_cold_out,Q_actual,U_overall,h_hot,h_cold,error,iteration
7.816449607791968,1.7725345861278623,242.31730110734418,22.00772143334259,0.0013410671075206656,0.00020397774681852772,77.90130207580273,200.05601478622518,1318563.254794582,540.8354365613205,455119.7060046002,3784.3067718163506,5.75244428091537e-07,28
7.837072292716801,10.621376399823085,207.33388248074237,27.604944288314137,0.0002352671265020883,8.47507386179788e-05,80.44356811376858,50.59714022256871,1020304.2296799629,213.5558330538634,237.681830027605,8489.46043720703,8.709007062179808e-07,27
6.649600773812763,8.793898877532442,193.40840395479984,26.609299895819554,0.0008922427783831035,0.0002965212456563922,28.044881397219257,57.3159715376475,1128191.0441558338,762.7179300867563,414181.69527523103,12132.644621935382,5.787742232143955e-07,28
4.6425148564486864,4.532664932824913,231.18664746203007,23.0536134416956,0.0009211770757546423,4.0801320960571676e-05,23.29072472579955,75.34432881818273,990254.0675554079,825.7870319496257,335906.3841666393,4795.920158380082,7.372197607935504e-07,28
5.747052594450378,2.0400557943620763,209.770947854324,29.249326891627724,0.0012345802213683738,0.0003097587420084833,44.35108614824492,143.68718083429144,975394.2381717247,564.8231978338152,380414.9866871131,5376.406107736458,5.789840997749707e-07,28
7.900207739211771,6.154415048396045,241.9288441087797,22.657764182945613,0.0010546191667224307,7.867451754583549e-05,29.1128841662549,89.74422013664619,1725003.8414036254,748.1522788900477,457956.61329556425,6110.639748156796,7.555483279020336e-07,28
5.085594694227994,7.2151379055104785,239.21977693272072,23.839552439525686,0.0003910875995222228,4.535345808766828e-05,49.28901052350636,56.714975843713646,991024.5812673122,248.62569869770067,294.9554210337914,6336.072863360673,6.702943409209183e-07,28
4.275484136728699,7.287248145505707,222.54467654572403,29.017837073588407,0.0013661040486561407,0.0005112540213802416,30.144283340182227,56.73869208960756,843992.5546059753,511.66044672717476,320158.8508016881,27442.647399300982,6.79494416289117e-07,28
5.265612614348959,8.12469478725319,179.11265578574654,29.140333873787895,0.0009635332925247392,0.00021171761840263744,29.49127785941951,52.95335105332211,808332.2685747541,756.1932966465779,361497.91325185884,9354.884802544053,5.201301647161927e-07,28
5.777494530969364,2.2377999423927806,239.3353267007325,26.555310533275936,0.0001314008701484735,0.00033284121051783315,110.67049595884717,108.13030685367602,762687.7251937643,144.01033847103932,159.2901456174492,6084.517559741721,8.841218885891067e-07,27
4.342633850346319,6.976386023561708,191.778613532964,29.536621716464268,0.0006337573795407755,0.0003904658982232534,29.686275181176086,54.31450041781352,722209.2749688779,717.6937383496335,3813.6908701374837,14405.996733841703,5.665881133154471e-07,28
6.280138068256076,10.575118470527011,178.9378683920895,24.213787768968235,5.2705236667121154e-05,0.0004910294563010929,82.31506640474788,38.30481009696747,622581.4549848522,133.36464862455142,145.2756391530467,29817.1875263478,6.453901733038947e-07,27
7.73194394858235,2.46363683448183,191.77223121279917,29.17762579239463,0.0007362435808967341,3.468078998576335e-05,42.02901575584724,144.586203279533,1187909.108457077,899.9943795734933,452244.60345826595,3327.98098262577,5.205840452049415e-07,28
5.738526422215152,1.1414649188456818,215.68847337057912,24.69486645559859,0.0014815203989082498,7.642185328868394e-05,76.88004259239415,196.06399437994247,817266.2996856552,490.96209571780645,380085.8551378382,2279.2340738786133,9.596975871772884e-07,27
4.817176947800988,9.449630291753145,174.44016905777934,28.87586876767954,0.0003383142140811724,5.6001792037820544e-05,49.19621866056812,44.554692029294685,619008.6497433056,209.60680017594515,237.72550725634025,7547.774683670859,8.586343369643146e-07,27
7.056279547099708,1.9430226611831183,184.1086975915309,21.66117957860731,0.0006826271711539089,0.00031196295396045267,40.1822753044122,150.01753202242543,1041990.2816884988,816.6274560275974,428766.41629386664,5259.6645674654055,9.978296020562993e-07,27
