timestamp,m_dot_hot,m_dot_cold,T_hot_in,T_cold_in,R_f_hot,R_f_cold,T_hot_out,T_cold_out,Q_actual,U_overall,h_hot,h_cold,error,iteration
2023-10-09 05:00:00,4.11048611742697,2.139486696412086,204.59637171829183,20.548024853142866,0.00122818563997943,0.0006845729735541385,24.565794369481637,105.48734778550023,759253.5318161675,511.8835265045718,312896.5755920178,8706669.806451777,6.334132613972088e-07,28
2023-10-09 06:00:00,4.4692201835240395,2.1752542884027593,198.58135618823584,24.596858389330347,0.0012378420848202008,0.0006871591454437663,30.300381861939286,109.50232653445447,771638.9298631919,508.7352995560904,328538.44248343224,8791235.87986033,5.896425783191717e-07,28
2023-10-09 07:00:00,4.453188708771165,2.349427233811651,203.52025945195376,22.604439032119526,0.001243417908373557,0.0006879923503456768,27.70680779316737,104.43963486286998,803286.6701991945,507.0816023171066,327850.86489186506,9195014.714152265,6.177032432219676e-07,28
2023-10-09 08:00:00,4.354785024826872,2.317435890160647,203.46050289318435,23.912702815638504,0.0012470849715028637,0.0006899740964673801,28.607835766173736,104.60093092127244,781243.3665409931,505.62281445133436,323607.5765382807,9121811.409734275,6.141240405099779e-07,28
2023-10-09 09:00:00,4.473401720558164,2.360390265879188,198.82851544983026,20.32634433427028,0.0012516839630418901,0.00069372284311685,25.53907741252823,100.97648031323138,795348.2952976606,503.51012244929325,328717.6161793617,9220004.806529319,6.083005601453806e-07,28
2023-10-09 10:00:00,4.303107293071133,2.0192645589435796,203.45078926848024,20.2532014502535,0.0012587628673026126,0.0006984844586798673,26.323719932173617,112.94745557594229,782013.9002417731,500.5060458202564,321363.16116976994,8418006.024996521,6.225968505191304e-07,28
2023-10-09 11:00:00,4.168263540172363,2.35909220018769,199.73987175955398,21.90965678123919,0.001264799835460696,0.0007012338801620265,25.69063737243249,97.42953783550283,744345.6379159121,498.3027180328808,315453.2068462305,9217048.412164498,6.111310213441357e-07,28
2023-10-09 12:00:00,4.1506218114705495,2.0486406844824354,201.9114248165346,22.55699886436866,0.0012675608816007137,0.0007024320792013347,27.480609746156773,109.34296568576428,742820.2506099122,497.31730922794725,314674.1425270464,8489187.790735355,6.125525189304426e-07,28
2023-10-09 13:00:00,4.070259836322033,2.2408045446190386,202.00680154263753,22.72999818722734,0.001269104664610796,0.000703474854458907,26.47669254425594,101.02764422961384,733028.9346920961,496.6709049374702,311107.7194262823,8944727.23892495,6.166477106717139e-07,28
2023-10-09 14:00:00,4.206214492828655,2.1647568932313757,201.13684733951493,21.64921856497107,0.0012748299514459757,0.00070411593483139,26.438795666894293,105.00759951850023,753922.7312114782,495.1197793626664,317124.48726746894,8766477.184331415,6.135480532520887e-07,28
2023-10-09 15:00:00,4.283981800611198,2.419769845160082,195.28829290988395,21.193380406797456,0.0012811784044550801,0.0007041728254317064,25.388299199551057,95.05959523838051,746772.5414844777,493.5644219104346,320529.6753499762,9354527.595806157,5.956738959866925e-07,28
2023-10-09 16:00:00,4.478317249310859,2.049753671603165,200.24998308836496,20.49481744844137,0.0012854402686831223,0.0007059980552329502,27.785161915166952,113.0269626828585,792433.3403317856,492.1026720674474,328928.1512324756,8491876.289595291,6.052286209978774e-07,28
2023-10-09 17:00:00,4.418885405018774,2.042326170061588,203.39876491922539,20.056664325320906,0.0012919587051006735,0.0007068300513566407,27.17201928857304,113.69170060989849,798972.6648915181,490.3232945015244,326376.1460061682,8473923.090437,6.192428827489493e-07,28
2023-10-09 18:00:00,4.420501144795125,2.2645137423592696,201.6974958271532,24.645815598290007,0.001294871542327604,0.0007080429545602194,30.368810626315906,106.77652120797887,777049.973942275,489.33520655886105,326445.7144897936,8999781.909106595,6.009961879271941e-07,28
2023-10-09 19:00:00,4.2769807616004805,2.2172231522256323,198.57281251777943,24.914257228739498,0.0013010365456292577,0.0007085477974439804,29.948030085778242,104.7924479564487,739956.2791008948,487.728829300441,320224.18341541913,8889727.863695996,5.909233635748024e-07,28
2023-10-09 20:00:00,4.011427547177546,2.4783461137370857,204.9240366651042,24.573077894535402,0.0013109089801442643,0.0007093177434191971,27.72597954288122,95.00586524020298,729298.4140052327,485.1839700346558,308478.124786722,9485888.26347237,6.228613003145256e-07,28
2023-10-09 21:00:00,4.320375747325365,2.1813270284804522,202.57022375553328,24.615395528301498,0.0013170157887648069,0.0007139414126008746,30.363447960601775,108.3740900076717,763341.9250889261,482.7011368335839,322114.3914590633,8805536.03053827,6.042673277306676e-07,28
2023-10-09 22:00:00,4.450331262321455,2.348170919336222,200.33065756592745,23.50484445685372,0.0013256336345705373,0.0007183558408743095,29.37141812679633,103.07205557233208,780606.7043029895,479.6969298817159,327728.20290190994,9192147.858819,5.996198950697362e-07,28
2023-10-09 23:00:00,4.350764711291074,2.2579395891229077,204.79395066611713,23.884479182977298,0.001326799878810086,0.0007205815236076519,29.69439533376743,106.73919792775506,781624.2074266173,478.9078147220085,323433.3701554826,8984540.379210457,6.150437705798595e-07,28
2023-10-10 00:00:00,4.038631486601243,2.412272476694733,201.99905550640966,23.048611793534,0.0013321854814292021,0.0007210754352202134,26.639096691049673,95.14561698519756,726627.8216909913,477.5328020335199,309696.029253126,9337619.05654469,6.16013849707997e-07,28
2023-10-10 01:00:00,4.174339726704759,2.0329736107139302,195.2635521296874,21.076402994186235,0.0013411427965439318,0.0007222744271830434,26.77750684553874,106.03335277982393,721604.2600228488,475.23934115129026,315721.2146888009,8451278.013148215,5.904065289996652e-07,28
2023-10-10 02:00:00,4.089287392675133,2.230761941729132,203.56279642897704,22.46257717306419,0.0013490965298080617,0.000725969700650769,27.056145255415117,101.91998767980867,740552.8703749054,472.61572024544364,311954.78620225156,8921334.317602731,6.202856113191046e-07,28
2023-10-10 03:00:00,4.331732950816135,2.128518224311102,202.52750097714892,22.479432028473664,0.001353708738727684,0.0007259823598412004,29.047643560358893,109.17807172800954,771006.5934567493,471.6077876439151,322607.7819402498,8680618.933815619,6.09009926932913e-07,28
2023-10-10 04:00:00,4.196787372254906,2.254474314407477,200.20083728072606,24.798655201699454,0.0013634240495093756,0.0007280169236572693,29.871194870526836,102.66339463386404,733423.0619899011,468.99699171605806,316709.9256485505,8976499.031936597,5.97274461000552e-07,28
2023-10-10 05:00:00,4.376689773037696,2.3658806766972558,197.30950106079695,23.69134893787185,0.0013653689975206705,0.0007283949362625981,29.33840541797946,99.99870518289708,754271.4682539682,468.50402442056014,324555.5673962854,9232501.936405396,5.884881915108053e-07,28
2023-10-10 06:00:00,4.388047758004861,2.439854881516319,195.11511171294063,21.115533542244485,0.0013720916600059318,0.00073136154872567,26.639327885319148,95.52424096943778,758501.0599259817,466.38830885404496,325046.3378170945,9399717.31673655,5.903683018004813e-07,28
2023-10-10 07:00:00,4.006157336520478,2.055936069205557,202.72895192415785,23.584167042495704,0.0013819465004161102,0.0007317427888327881,28.628951596335213,106.89396723278662,715606.265435164,464.13381598032265,308241.7827510558,8506799.23877822,6.113201393986856e-07,28
2023-10-10 08:00:00,4.05868726694951,2.0997487683289133,203.1138034064647,22.986610360730644,0.0013877528446899167,0.0007351703103149407,28.25051313310317,105.989999372343,728168.0103413129,462.15869289328566,310591.72534118145,8612022.181608561,6.141636177403598e-07,28
2023-10-10 09:00:00,4.128444867371726,2.4207248113379416,199.63756308103905,23.34253839491625,0.001391820844870836,0.0007379540909786903,27.76513866289949,95.324917413362,728014.53997103,460.70855324234,313692.8399964036,9356679.726367157,6.030217711838759e-07,28
2023-10-10 10:00:00,4.066815471686811,2.132049714299778,201.1714472434365,24.83910918578745,0.0013962585093567801,0.0007398942066304723,29.99352726164625,105.02238775988414,714248.8877413323,459.3511631399266,310954.2071967851,8689012.561661955,6.004345394217125e-07,28
2023-10-10 11:00:00,4.395501936600767,2.194053244975069,201.34434302705677,20.20430000884615,0.0014046284108108762,0.0007438998175392397,27.501398078440815,105.73013217236783,783994.3032168585,456.78476911238107,325368.13968031446,8835450.11563201,6.103625338482743e-07,28
2023-10-10 12:00:00,4.111174572561136,2.4445399569882698,199.50028772646553,22.904533118514273,0.0014143994614621888,0.0007446849366339445,27.36735861331337,93.99504844206231,726067.9028234917,454.5689480030654,312927.12738179514,9410236.019633349,6.039922268996634e-07,28
2023-10-10 13:00:00,4.47538839885221,2.4885687462863104,198.67246892468123,24.404628528329273,0.0014164224574967268,0.0007457446279417039,30.739293788542284,98.5692037523101,771106.9045651467,453.9648768228484,328802.71841560525,9508679.84264759,5.883469249567952e-07,28
2023-10-10 14:00:00,4.39257328162269,2.142862904025821,201.67999912629648,20.277441150165632,0.001424491099714437,0.0007490206538594132,28.085644250893125,107.66289623474756,782351.5991179462,451.63015343598573,325241.7348525393,8714677.314320683,6.094364621844761e-07,28
2023-10-10 15:00:00,4.2762231277446086,2.3227024408616415,202.19981264184577,24.491124267942123,0.0014270165487407847,0.0007499689856267347,30.4833044490874,102.12615969060356,753389.8544469049,450.91392669246727,320191.1113894988,9133891.288451185,6.024409380245288e-07,28
2023-10-10 16:00:00,4.21691954582033,2.3294250981312845,195.7712332588378,22.73616019321075,0.0014335294968663755,0.0007504321225196498,28.23936382219881,97.21328882265908,724836.5935593374,449.4948519679484,317594.77700142114,9149294.454034096,5.868519465934696e-07,28
2023-10-10 17:00:00,4.018436767194793,2.2498684459832434,196.439291601708,21.237846668227363,0.001440420604988352,0.0007540072221189022,26.01525459049833,95.98760411454468,702644.0099644412,447.3716898203625,308792.25199071236,8965802.896051778,5.976261086004797e-07,28
2023-10-10 18:00:00,4.106570044640117,2.0635929328105918,202.43594577788332,21.65956322612241,0.0014449431617340955,0.000756975319410346,28.04599787434094,106.88231950409153,734764.2940868607,445.88445298795364,312722.7501940513,8525255.310552487,6.124002780438786e-07,28
2023-10-10 19:00:00,4.495080592959487,2.0645651467292714,196.10688442254744,22.725913140410796,0.0014548932430661688,0.0007599307622560224,31.86528445475966,110.54137370847852,757474.4885146855,443.36562075604866,329645.41171880503,8527596.686204603,5.745947362356674e-07,28
2023-10-10 20:00:00,4.160037585078765,2.49614933446249,200.37213770062453,24.455895792904265,0.0014607308664252377,0.0007612079149236765,29.432151968946187,94.41581174366024,729605.8013379617,441.94647315087195,315090.11750929704,9525555.726134708,5.995481657805612e-07,28
2023-10-10 21:00:00,4.46474589201926,2.1410991639618024,203.89599042039913,20.306608965404788,0.0014706467879471716,0.0007658289052588439,29.394950232226137,109.66532289456569,799359.4751938973,439.14811152151935,328346.6471839572,8710494.827207329,6.128141301076084e-07,28
2023-10-10 22:00:00,4.159794816254959,2.3748596666841166,199.73890384472452,20.98094664454429,0.0014768293652499505,0.0007706730735974914,26.62004400224467,95.44681632541929,738862.5480987031,437.00863260625744,315079.39727490366,9252913.648520246,6.076651075659356e-07,28
2023-10-10 23:00:00,4.062554064931319,2.167598030277182,195.7401623489382,22.541682798208388,0.001478697680387395,0.0007727124753964475,28.244191160323112,99.63268585153052,698153.4360158375,436.2541102507099,310764.20508210984,8773183.097532116,5.867182153451722e-07,28
